,X,Y,OBJECTID,ID,Letter,Address,City,State,Zip,Phone,Lat,Long_,Restaurant
40782,-92.9853,45.0503,40783,40783,t,2741 County Rd E,White Bear Lake,MN,55110,(651)426-9657,45.0503,-92.9853,Taco Bell
40902,-93.2587,45.129,40903,40903,t,291 Highway 10 Ne,Blaine,MN,55434,(763)784-6218,45.129,-93.2587,Taco Bell
41092,-96.7328,46.8765,41093,41093,t,3102 Hwy 10 E,Moorhead,MN,56560,(218)233-8708,46.8765,-96.7328,Taco Bell
41193,-96.768,46.8714,41194,41194,t,321 South 8th Street,Moorhead,MN,56560,(218)233-7928,46.8714,-96.768,Taco Bell
41194,-93.3209,44.8817,41195,41195,t,3210 Southdale Circle,Edina,MN,55435,(952)925-1281,44.8817,-93.3209,Taco Bell
41284,-94.1987,45.5496,41285,41285,t,3311 2nd St,St. Cloud,MN,56301,(320)251-4744,45.5496,-94.1987,Taco Bell
41325,-93.245,44.847,41326,41326,t,338 North Garden,Bloomington,MN,55425,(952)854-5255,44.847,-93.245,Taco Bell
41384,-93.1063,45.0465,41385,41385,t,3464 N. Rice Street,St. Paul,MN,55126,(651)481-9322,45.0465,-93.1063,Taco Bell
41615,-92.9723,45.5103,41616,41616,t,38706 14th Avenue,North Branch,MN,55056,(651)237-0544,45.5103,-92.9723,Taco Bell
41687,-92.5026,44.065,41688,41688,t,4000 Market Place,Rochester,MN,55901,(507)292-1863,44.065,-92.5026,Taco Bell
41714,-93.2148,44.9483,41715,41715,t,4020 E Lake St,Minneapolis,MN,55406,(612)724-5100,44.9483,-93.2148,Taco Bell
41764,-93.1848,44.4371,41765,41765,t,410 S Hwy 3,Northfield,MN,55057,(507)663-7011,44.4371,-93.1848,Taco Bell
41871,-93.1671,45.1622,41872,41872,t,4240 Pheasant Ridge Drive,Blaine,MN,55449,(763)259-0762,45.1622,-93.1671,Taco Bell
41877,-93.2855,44.9991,41878,41878,t,425 W Broadway,Minneapolis,MN,55411,(612)521-1895,44.9991,-93.2855,Taco Bell
42136,-95.3877,45.847,42137,42137,t,4817 Hwy 29 S,Alexandria,MN,56308,(320)763-9515,45.847,-95.3877,Taco Bell
42168,-93.2474,45.0574,42169,42169,t,4900 Central Ave Ne,Minneapolis,MN,55421,(763)571-5494,45.0574,-93.2474,Taco Bell
42225,-93.2405,44.8539,42226,42226,t,5000 Ctr Court/Mall Of America,Bloomington,MN,55425,(952)883-8580,44.8539,-93.2405,Taco Bell
42256,-92.9341,46.011,42257,42257,t,503 Fire Monument Road,Hinckley,MN,55037,(320)384-7939,46.011,-92.9341,Taco Bell
42320,-94.8995,47.4926,42321,42321,t,515 Paul Bunyan Drive,Bemidji,MN,56601,(218)751-3498,47.4926,-94.8995,Taco Bell
42327,-92.4631,44.0283,42328,42328,t,516 N Broadway,Rochester,MN,55906,(507)282-1868,44.0283,-92.4631,Taco Bell
42486,-93.3242,45.0553,42487,42487,t,5532 Brooklyn Blvd,Brooklyn Center,MN,55429,(763)560-5203,45.0553,-93.3242,Taco Bell
42538,-93.1669,44.9578,42539,42539,t,565 No Snelling,St. Paul,MN,55104,(651)646-5900,44.9578,-93.1669,Taco Bell
42876,-93.4035,45.2065,42877,42877,t,647 W Main St,Anoka,MN,55303,(763)421-0609,45.2065,-93.4035,Taco Bell
42935,-93.3636,44.9709,42936,42936,t,6620 Wayzata Blvd,Golden Valley,MN,55426,(763)542-8401,44.9709,-93.3636,Taco Bell
42982,-93.2414,44.0841,42983,42983,t,681 West Bridge Street,Owatonna,MN,55060,(507)444-0242,44.0841,-93.2414,Taco Bell
43026,-94.0009,44.146,43027,43027,t,7 Centennial Student Un,Mankato,MN,56001,(507)389-2812,44.146,-94.0009,Taco Bell
43086,-94.4655,44.32,43087,43087,t,707 North Minnesota,New Ulm,MN,56073,(507)354-2421,44.32,-94.4655,Taco Bell
43103,-93.371,45.0546,43104,43104,t,7100 Bass Lake,New Hope,MN,55428,(763)537-4737,45.0546,-93.371,Taco Bell
43166,-93.2635,45.1002,43167,43167,t,7295 University Ave Ne,Fridley,MN,55432,(763)502-0399,45.1002,-93.2635,Taco Bell
43278,-93.2232,44.7328,43279,43279,t,7715 150th Street West,Apple Valley,MN,55124,(952)953-4553,44.7328,-93.2232,Taco Bell
43431,-93.2878,44.7469,43432,43432,t,810 County Road 42 West,Burnsville,MN,55337,(952)435-8611,44.7469,-93.2878,Taco Bell
43459,-93.3896,44.9345,43460,43460,t,819 Cambridge,Hopkins,MN,55343,(952)938-5226,44.9345,-93.3896,Taco Bell
43555,-93.4316,44.8505,43556,43556,t,8450 Joiner Way,Eden Prairie,MN,55344,(952)942-5766,44.8505,-93.4316,Taco Bell
43562,-92.9337,44.9414,43563,43563,t,8473 Tamarack Road,Woodbury,MN,55125,(651)501-8364,44.9414,-92.9337,Taco Bell
43591,-93.3054,45.1103,43592,43592,t,8530 Edinburgh Centre Dr,Brooklyn Park,MN,55443,(763)315-2929,45.1103,-93.3054,Taco Bell
43602,-93.3911,45.1089,43603,43603,t,8575 Aspen Lane North,Brooklyn Park,MN,55445,(763)315-4426,45.1089,-93.3911,Taco Bell
43612,-92.9317,44.8144,43613,43613,t,8623 E Point Douglas Rd S,Cottage Grove,MN,55016,(651)768-9933,44.8144,-92.9317,Taco Bell
43785,-93.2886,44.8364,43786,43786,t,9230 Lyndale Ave South,Bloomington,MN,55420,(952)888-7133,44.8364,-93.2886,Taco Bell
43891,-93.5442,44.8622,43892,43892,t,975 West 78th Street,Chanhassen,MN,55317,(952)470-8909,44.8622,-93.5442,Taco Bell
